date,p3_status,selector_status,overlap_hours,selector_sgdf_hours,p3_applied_hours,conflict_hours,submission_ready,final_dir
2025-11-03,degraded,COMPLETE,0,1,0,0,False,False
2025-11-10,degraded,COMPLETE,0,1,0,0,False,False
2025-11-16,degraded,COMPLETE,0,2,0,0,False,False
2025-11-22,degraded,COMPLETE,0,0,0,0,False,False
2025-11-28,degraded,COMPLETE,0,0,0,0,False,False
2025-12-05,degraded,COMPLETE,0,0,0,0,False,False
2025-12-10,degraded,COMPLETE,0,0,0,0,False,False
2025-12-16,degraded,COMPLETE,0,0,0,0,False,False
2025-12-22,degraded,COMPLETE,0,0,0,0,False,False
2025-12-28,degraded,COMPLETE,0,0,0,0,False,False
2026-01-03,degraded,COMPLETE,0,3,0,0,False,False
2026-01-10,degraded,COMPLETE,0,2,0,0,False,False
2026-01-17,degraded,COMPLETE,0,5,0,0,False,False
2026-01-22,degraded,COMPLETE,0,0,0,0,False,False
2026-01-28,ok,COMPLETE,0,0,1,0,False,False
2026-02-01,ok,COMPLETE,0,0,0,0,False,False
2026-02-10,ok,COMPLETE,0,0,0,0,False,False
2026-02-15,ok,COMPLETE,0,0,8,0,False,False
2026-02-21,ok,COMPLETE,0,0,15,0,False,False
2026-02-25,ok,COMPLETE,0,0,6,0,False,False
