task,business_day,hour_business,period,available_models,missing_models,raw_weights,renormalized_weights,renormalized,y_fused
dayahead,2026-02-24,1,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,351.7967
dayahead,2026-02-24,2,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,337.2747
dayahead,2026-02-24,3,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,333.5997
dayahead,2026-02-24,4,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,340.1962
dayahead,2026-02-24,5,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,335.4837
dayahead,2026-02-24,6,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,347.198
dayahead,2026-02-24,7,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,356.3245
dayahead,2026-02-24,8,1_8,"lightgbm,timemixer,timesfm",,"lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263","lightgbm:0.1083,timemixer:0.0654,timesfm:0.8263",False,368.4051
dayahead,2026-02-24,9,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,339.5496
dayahead,2026-02-24,10,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,276.935
dayahead,2026-02-24,11,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,232.7569
dayahead,2026-02-24,12,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,163.1514
dayahead,2026-02-24,13,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,98.085
dayahead,2026-02-24,14,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,80.8689
dayahead,2026-02-24,15,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,103.6786
dayahead,2026-02-24,16,9_16,"lightgbm,timemixer,timesfm",,"lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018","lightgbm:0.0491,timemixer:0.0491,timesfm:0.9018",False,176.7199
dayahead,2026-02-24,17,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,362.7004
dayahead,2026-02-24,18,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,478.1464
dayahead,2026-02-24,19,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,491.6315
dayahead,2026-02-24,20,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,476.11
dayahead,2026-02-24,21,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,459.8391
dayahead,2026-02-24,22,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,435.9447
dayahead,2026-02-24,23,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,395.0823
dayahead,2026-02-24,24,17_24,"lightgbm,timemixer,timesfm",,"lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714","lightgbm:0.2308,timemixer:0.0978,timesfm:0.6714",False,366.6922
